Date,Momentum_Value,Momentum_Return,Contrarian_Value,Contrarian_Return,Momentum_DD,Contrarian_DD
2006-05-17 00:00:00+01:00,100000.0,0.0,100000.0,0.0,0.0,0.0
2006-05-18 00:00:00+01:00,100982.87188712026,0.009828718871202404,99017.12811287976,-0.009828718871202404,0.0,-0.9828718871202402
2006-05-19 00:00:00+01:00,99670.79612981003,-0.012993052512676486,100303.66285810481,0.012993052512676486,-1.2993052512676462,0.0
2006-05-22 00:00:00+01:00,100199.75712677516,0.005307081085980459,99771.34318609601,-0.005307081085980459,-0.7754926609935042,-0.5307081085980436
2006-05-23 00:00:00+01:00,99693.70173968367,-0.00505046520672916,100275.23488348602,0.00505046520672916,-1.2766225829639932,-0.028341910762530453
2006-05-24 00:00:00+01:00,99070.24865922301,-0.006253685735219206,100902.32468947262,0.006253685735219206,-1.894007560049582,0.0
2006-05-25 00:00:00+01:00,98602.19199601767,-0.004724492665960134,101379.03698244637,0.004724492665960134,-2.3575086018188585,0.0
2006-05-26 00:00:00+01:00,97485.54748574716,-0.011324743270571624,102527.12854929037,0.011324743270571624,-3.4632847492022556,0.0
2006-05-29 00:00:00+01:00,97417.40128492123,-0.0006990390122791901,102598.79901196329,0.0006990390122791901,-3.530767679279856,0.0
2006-05-30 00:00:00+01:00,98415.88617674986,0.010249553762046129,101547.2071055688,-0.010249553762046129,-2.5420010962253214,-1.024955376204606
2006-05-31 00:00:00+01:00,97868.76270889715,-0.005559300323426465,102111.73852687384,0.005559300323426465,-3.0837993810515663,-0.474723378616404
2006-06-01 00:00:00+01:00,97940.66943354784,0.0007347260010281521,102036.71437756796,-0.0007347260010281521,-3.0125925285359623,-0.5478471871096624
2006-06-02 00:00:00+01:00,99099.08008464472,0.011827677488797029,100829.8570278936,-0.011827677488797029,-1.8654567524889476,-1.724135176147068
2006-06-05 00:00:00+01:00,98715.32580606313,-0.003872430281429629,101220.31361952063,0.003872430281429629,-2.245475929414864,-1.3435687412694963
2006-06-06 00:00:00+01:00,98065.78838090257,-0.0065799045878312,101886.33362548743,0.0065799045878312,-2.888691370828156,-0.6944188366111104
2006-06-07 00:00:00+01:00,97659.52253440303,-0.0041427887666750434,102308.4271839088,0.0041427887666750434,-3.2910030093342035,-0.28301679049927975
2006-06-08 00:00:00+01:00,96451.101415911,-0.012373817597422001,103574.37300056162,0.012373817597422001,-4.4876624981263324,0.0
2006-06-09 00:00:00+01:00,95319.42590879358,-0.011733152763465893,104789.6269413574,0.011733152763465893,-5.608323344831523,0.0
2006-06-12 00:00:00+01:00,95687.56224192298,0.0038621333439591505,104384.91542904614,-0.0038621333439591505,-5.243770103029388,-0.3862133343959129
2006-06-13 00:00:00+01:00,95645.8009143156,-0.00043643423062440486,104430.47257930021,0.00043643423062440486,-5.285124965321342,-0.34273846805291663
2006-06-14 00:00:00+01:00,96448.17988841601,0.008389066393193947,103554.39841135984,-0.008389066393193947,-4.490555590232348,-1.17876985160833
2006-06-15 00:00:00+01:00,96158.11328219801,-0.0030074865752115483,103865.8368743861,0.0030074865752115483,-4.777798962100633,-0.8815663285911546
2006-06-16 00:00:00+01:00,95821.55223136986,-0.0035000796016081198,104229.3755713341,0.0035000796016081198,-5.111084245573605,-0.5346439207545295
2006-06-19 00:00:00+01:00,95891.49574916209,0.0007299351363390548,104153.29488786591,-0.0007299351363390548,-5.041821491915332,-0.6072471790052325
2006-06-20 00:00:00+01:00,95899.59946329726,8.45092056584118e-05,104144.49297564823,-8.45092056584118e-05,-5.033796651678846,-0.6156467815943367
2006-06-21 00:00:00+01:00,96659.56602582512,0.007924606221308727,103319.18887869836,-0.007924606221308727,-4.281226885810662,-1.403228645409671
2006-06-22 00:00:00+01:00,97350.77978164921,0.007151012406153611,102580.35207723307,-0.007151012406153611,-3.5967407517693006,-2.108295380573022
2006-06-23 00:00:00+01:00,97298.77082186237,-0.0005342428679409707,102635.1548987212,0.0005342428679409707,-3.64824350546894,-2.055997435549517
2006-06-26 00:00:00+01:00,97694.1041102489,0.004063086152550732,102218.13942208732,-0.004063086152550732,-3.2567580178820665,-2.4539523560945242
2006-06-27 00:00:00+01:00,97882.48707367959,0.0019282940884344684,102021.03278810895,-0.0019282940884344684,-3.0702085962719616,-2.6420498231164102
2006-06-28 00:00:00+01:00,98466.18141001069,0.005963215216341289,101412.65941300004,-0.005963215216341289,-2.4921953892564686,-3.2226162330430075
2006-06-29 00:00:00+01:00,97788.12914463818,-0.006886143604463737,102111.00154902854,0.006886143604463737,-3.1636481343620293,-2.5561932707594215
2006-06-30 00:00:00+01:00,95860.56055103321,-0.01971168290533414,104123.78123270908,0.01971168290533414,-5.072455596046844,-0.6354118514239837
2006-07-03 00:00:00+01:00,96426.2632697008,0.005901308269175321,103509.31470150269,-0.005901308269175321,-4.512258893283305,-1.2217929171283615
2006-07-04 00:00:00+01:00,96748.11549624437,0.0033378066890693784,103163.82061851103,-0.0033378066890693784,-4.193539272293167,-1.55149547746386
2006-07-05 00:00:00+01:00,97298.23114800743,0.005686060642539536,102577.22487835812,-0.005686060642539536,-3.64877792664835,-2.11127964434632
2006-07-06 00:00:00+01:00,96879.30803790546,-0.004305557307251685,103018.87699849073,0.004305557307251685,-4.063623634908897,-1.6898141491215268
2006-07-07 00:00:00+01:00,95279.71401302029,-0.016511204067016075,104719.84269936764,0.016511204067016075,-5.64764872252298,-0.06659460867138867
2006-07-10 00:00:00+01:00,95132.3929364304,-0.0015461956211346053,104881.76006159531,0.0015461956211346053,-5.7935359149119625,0.0
