Date,Momentum_Value,Momentum_Return,Contrarian_Value,Contrarian_Return,Momentum_DD,Contrarian_DD
2010-01-04,100000.0,0.0,100000.0,0.0,0.0,0.0
2010-01-05,99870.23591995239,-0.0012976408004760737,100129.76408004761,0.0012976408004760737,-0.12976408004761186,0.0
2010-01-06,100311.25820378636,0.004415953159332276,99687.59573201512,-0.004415953159332276,0.0,-0.44159531593322976
2010-01-07,100360.78240087019,0.000493705272674561,99638.37944038198,-0.000493705272674561,0.0,-0.49074782526481453
2010-01-08,100379.5645864594,0.00018714666366577155,99619.73245009664,-0.00018714666366577155,0.0,-0.50937064981319
2010-01-11,100149.70749715627,-0.002289879322052002,99847.84961550246,0.002289879322052002,-0.22898793220520464,-0.28154911492624946
2010-01-12,99820.62708984058,-0.003285884857177735,100175.9381525758,0.003285884857177735,-0.5568239899440663,0.0
2010-01-13,100165.50330297463,0.0034549593925476078,99829.8343541483,-0.0034549593925476078,-0.21325185496334775,-0.3454959392547585
2010-01-14,100319.83750797517,0.0015407919883728034,99676.01734517486,-0.0015407919883728034,-0.05950123287570275,-0.49904280071682017
2010-01-15,100113.11803995047,-0.002060604095458985,99881.41015473536,0.002060604095458985,-0.2654390339374424,-0.29401072080990076
2010-01-18,100209.51229921359,0.0009628534317016603,99785.23899620467,-0.0009628534317016603,-0.16940926965202108,-0.390012974748577
2010-01-19,99956.33318275385,-0.0025264978408813476,100037.34618708042,0.0025264978408813476,-0.42163104158615683,-0.13834855759906617
2010-01-20,99385.2828598536,-0.0057129979133605955,100608.85933710533,0.0057129979133605955,-0.9905220556614247,0.0
2010-01-21,99009.28824194039,-0.0037832021713256826,100989.48299220408,0.0037832021713256826,-1.3650949276022617,0.0
2010-01-22,98551.21580842281,-0.004626560211181641,101456.71691596363,0.004626560211181641,-1.821435254843895,0.0
2010-01-25,98736.99276758239,0.0018850803375244133,101265.46285379556,-0.0018850803375244133,-1.636360772876444,-0.18850803375244363
2010-01-26,98273.63933266352,-0.00469280481338501,101740.68190530551,0.00469280481338501,-2.0979621325035502,0.0
2010-01-27,98341.49336983092,0.000690460205078125,101670.43401321238,-0.000690460205078125,-2.0303646713599965,-0.0690460205078236
2010-01-28,98268.69803798564,-0.0007402300834655764,101745.69352706795,0.0007402300834655764,-2.102884742696398,0.0
2010-01-29,98343.63947546353,0.0007626175880432128,101668.10047167656,-0.0007626175880432128,-2.0282266807824745,-0.07626175880431907
2010-02-01,98787.24054384342,0.004510724544525146,101209.50367548372,-0.004510724544525146,-1.5863029982008392,-0.5269902174695917
2010-02-02,99068.58712797095,0.002848005294799805,100921.25847313188,-0.002848005294799805,-1.3060202680588828,-0.8102898760199095
2010-02-03,98727.20791544385,-0.003445887565612794,101269.02178281044,0.003445887565612794,-1.6461086256180257,-0.4684932872669467
2010-02-04,98147.40414652888,-0.005872786045074461,101863.75308073487,0.005872786045074461,-2.223719986360262,0.0
2010-02-05,98185.02927125213,0.0003833532333374025,101824.70328163149,-0.0003833532333374025,-2.1862371332733277,-0.038335323333738014
2010-02-08,97945.25535201115,-0.0024420619010925293,102073.3655101056,0.0024420619010925293,-2.425104396972666,0.0
2010-02-09,98346.2962229403,0.00409454107284546,101655.4219225809,-0.00409454107284546,-2.0255799792474605,-0.4094541072845459
2010-02-10,98562.12185651709,0.002194547653198242,101432.33425496583,-0.002194547653198242,-1.8105704457174632,-0.6280103060541276
2010-02-11,98791.0201405885,0.002322375774383544,101196.77025915292,-0.002322375774383544,-1.5825376932200652,-0.8587894075716362
2010-02-12,98862.97172262105,0.0007283210754394531,101123.06651860678,-0.0007283210754394531,-1.5108581812307786,-0.9309960406906792
2010-02-15,99060.61497980777,0.001999163627624512,100920.90496210892,-0.001999163627624512,-1.3139622711907384,-1.1290511900311273
2010-02-16,97604.38895678434,-0.014700353145599365,102404.4779048254,0.014700353145599365,-2.764681876344177,0.0
2010-02-17,98495.83012312389,0.00913320779800415,101469.1965286745,-0.00913320779800415,-1.8766115106157888,-0.9133207798004306
2010-02-18,99102.34809408427,0.006157803535461426,100844.36915154979,-0.006157803535461426,-1.272386962064398,-1.5234770834197109
2010-02-19,98266.11745172768,-0.008438050746917725,101695.29905599148,0.008438050746917725,-2.1054555710005474,-0.6925271856695892
2010-02-22,98416.70275899561,0.001532423496246338,101539.45879026027,-0.001532423496246338,-1.9554396709632105,-0.8447082903631276
2010-02-23,100168.58198588643,0.017800629138946533,99731.9925413655,-0.017800629138946533,-0.2101848134549611,-2.609734865250435
2010-02-24,100043.05673179256,-0.0012531399726867678,99856.97068777478,0.0012531399726867678,-0.33523541973223825,-2.487691231059519
2010-02-25,100880.23644920575,0.008368194103240963,99021.34817449783,-0.008368194103240963,0.0,-3.303693158293186
2010-02-26,99925.9987847493,-0.009459114074707032,99958.0024027117,0.009459114074707032,-0.9459114074707009,-2.389031761274596
2010-03-01,100997.86211376057,0.010726571083068848,98885.79578461745,-0.010726571083068848,0.0,-3.4360627505744645
2010-03-02,101162.26070149196,0.001627743244171143,98724.83509858456,-0.001627743244171143,0.0,-3.5932440470627824
2010-03-03,101000.433316951,-0.001599681377410889,98882.76337877972,0.001599681377410889,-0.15996813774108443,-3.4390239549082713
2010-03-04,101614.80327090411,0.006082844734191896,98281.27488225877,-0.006082844734191896,0.0,-4.026389379572581
2010-03-05,99601.68470095922,-0.01981127262115479,100228.35201250586,0.01981127262115479,-1.9811272621154785,-2.1250300151347434
2010-03-08,100406.14035590242,0.008076727390289308,99418.8349365229,-0.008076727390289308,-1.1894555479081248,-2.915539466035255
